molecule_chembl_id,smiles,standard_units,pIC50,pKi
CHEMBL1964546,Nc1ccc2cc3ccc(N)cc3nc2c1.O=S(=O)(O)O,nM,5.684029654543083,
CHEMBL1965444,NC(=S)N/N=C/c1ccc(-c2ccccc2)o1,nM,5.392544976785332,
CHEMBL1992382,NC(=S)N/N=C/c1ccc(-c2cccc([N+](=O)[O-])c2)o1,nM,5.092588639225414,
CHEMBL1994837,NC(=S)N/N=C/c1ccc(-c2ccc([N+](=O)[O-])cc2)o1,nM,5.013676222949234,
CHEMBL1997422,Nc1nonc1-c1nc2ccccc2n1CC(=O)N/N=C/c1ccc(-c2cccc(C(=O)O)c2)o1,nM,4.672028376376989,
CHEMBL2016761,N#C[C@@]1(c2ccc3c(N)ncnn23)O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O,nM,5.20690839982342,
CHEMBL204813,CC(C)=CC[C@]12Oc3cc(O)c([C@H]4C=C(C)C[C@H](c5ccc(O)cc5O)[C@H]4C(=O)c4ccc(O)cc4O)c(O)c3C(=O)[C@@]1(O)Oc1cc(O)ccc12,nM,5.142667503568732,
CHEMBL2103763,O=C1c2c(O)cccc2[C@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,nM,4.84103473961659,
CHEMBL2103913,CCCCCCCCCC(=O)N[C@H]1[C@H](Oc2c3cc4cc2Oc2ccc(cc2Cl)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H]2NC(=O)[C@H](NC(=O)[C@@H]4NC(=O)[C@H]4NC(=O)[C@H](Cc5ccc(c(Cl)c5)O3)NC(=O)[C@H](N)c3ccc(O)c(c3)Oc3cc(O)cc4c3)c3ccc(O)c(c3)-c3c(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)cc(O)cc3[C@@H](C(=O)O)NC2=O)O[C@H](CO)[C@@H](O)[C@@H]1O,nM,5.823908740944319,
CHEMBL2105734,COCC[n+]1c2c(n(Cc3cnccn3)c1C)C(=O)c1ccccc1C2=O.[Br-],nM,5.607303046740334,
CHEMBL212218,Cc1cc(S(=O)(=O)c2c([N+](=O)[O-])cc(C(F)(F)F)cc2[N+](=O)[O-])c(Cl)cc1Cl,nM,6.522878745280337,
CHEMBL213543,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C,nM,6.543633966870957,
CHEMBL218394,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,nM,5.217097594025355,
CHEMBL221518,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)Cn1[nH]c(=O)c2ccccc2c1=O)C(C)OCc1ccccc1)C(C)C,nM,5.568636235841013,
